ticker,isin,name,currency,sector,country
RU000A1075S4,RU000A1075S4,ИКС 5 Финанс 003Р-02,RUB,Financial,Россия
RU000A10EEZ9,RU000A10EEZ9,Селектел 001P-07R,RUB,IT,Россия
RU000A10AA10,RU000A10AA10,ПСБ Лизинг БО-П01,RUB,Financial,Россия
RU000A10DQL5,RU000A10DQL5,Металлоинвест 002P-03,RUB,Industrials,Россия
RU000A10BU31,RU000A10BU31,КАМАЗ БО-П15,RUB,Industrials,Россия
RU000A10BQC8,RU000A10BQC8,Хэндерсон Фэшн Групп 001P-01,RUB,Consumer,Россия
RU000A10CMT9,RU000A10CMT9,Яндекс 001Р-02,RUB,IT,Россия
RU000A10BGJ4,RU000A10BGJ4,Аэрофлот П02-БО-01,RUB,Consumer,
RU000A10AHJ4,RU000A10AHJ4,Группа Позитив 001Р-02,RUB,IT,Россия
RU000A1055Y4,RU000A1055Y4,Почта России БО-002P-04,RUB,Other,Россия
RU000A1099V8,RU000A1099V8,Совкомбанк Лизинг БО-П07,RUB,Financial,Россия
RU000A10AC91,RU000A10AC91,Республика Башкортостан 34014,RUB,Municipal,Россия
RU000A10CRC4,RU000A10CRC4,ГМК Норникель БО-001Р-14,RUB,Materials,Россия
RU000A10B0U0,RU000A10B0U0,Авто Финанс Банк БО-001Р-14,RUB,Financial,Россия
RU000A10C634,RU000A10C634,ВИС ФИНАНС БО П09,RUB,Financial,Россия
RU000A10CWF7,RU000A10CWF7,ПГК 003Р-01,RUB,Industrials,Россия
RU000A10B0J3,RU000A10B0J3,ДельтаЛизинг 001P-02,RUB,Financial,Россия
RU000A107HG1,RU000A107HG1,Газпром нефть БО 003P-08R,RUB,Energy,Россия
SU29009RMFS6,RU000A0JV4N8,ОФЗ 29009,RUB,Government,Россия
RU000A106EZ0,RU000A106EZ0,ВИС ФИНАНС БО-П04,RUB,Financial,Россия
RU000A107S10,RU000A107S10,Россельхозбанк БO-03-002P,RUB,Financial,Россия
RU000A10BBE6,RU000A10BBE6,ХК Новотранс 001P-06,RUB,Industrials,
RU000A0JXE06,RU000A0JXE06,ГТЛК 001P-03,RUB,Industrials,Россия
RU000A10AUE8,RU000A10AUE8,РЖД БО 001P-36R,RUB,Industrials,Россия
RU000A107W48,RU000A107W48,Инарктика 002Р-01,RUB,Consumer,Россия
RU000A109L49,RU000A109L49,АЛРОСА 001Р-01,RUB,Materials,Россия
RU000A10CQE2,RU000A10CQE2,ВТБ Лизинг 001Р-МБ-03,RUB,Financial,Россия
RU000A108Y86,RU000A108Y86,Европлан 001P-07,RUB,Other,Россия
RU000A10BG13,RU000A10BG13,Ростелеком 001P-16R,RUB,Telecom,Россия
RU000A10C618,RU000A10C618,Магнит БО-004Р-08,RUB,Consumer,Россия
RU000A10B487,RU000A10B487,ДелоПортс БО 001P-04,RUB,Industrials,Россия
RU000A106VV3,RU000A106VV3,РЖД БО 001Р-27R,RUB,Industrials,Россия
RU000A10C725,RU000A10C725,Металлоинвест 002P-01,RUB,Industrials,
SU29021RMFS1,RU000A105B11,ОФЗ 29021,RUB,Government,Россия
RU000A1017J5,RU000A1017J5,Газпром нефть БО 003Р-02R,RUB,Energy,Россия
RU000A10B214,RU000A10B214,Ростелеком 001P-15R,RUB,Telecom,Россия
RU000A1070X5,RU000A1070X5,АБЗ-1 001P-05,RUB,Industrials,Россия
RU000A101FH6,RU000A101FH6,МТС 001P-14,RUB,Telecom,Россия
RU000A105VC5,RU000A105VC5,Полюс ПБО-03,RUB,Materials,Россия
RU000A10AST0,RU000A10AST0,СФО Совком Секьюр Класс А,RUB,Financial,
RU000A1057D4,RU000A1057D4,Металлоинвест 001P-02,CNY,Industrials,Россия
RU000A109VL8,RU000A109VL8,Совкомбанк БО-П05,RUB,Financial,
RU000A10BBW8,RU000A10BBW8,Газпром капитал БО-001Р-12,RUB,Energy,Россия
RU000A1062J1,RU000A1062J1,СФО ВТБ РКС Эталон 02,RUB,Financial,Россия
RU000A10DXE6,RU000A10DXE6,СФО Альфа Фабрика ПК-2 класс А,RUB,Financial,Россия
RU000A109B33,RU000A109B33,Газпром нефть БО 003P-13R,RUB,Energy,Россия
